name,price,category,brand,url,sku,variant,color,description,spec_Framefit,spec_Bottom_bracket,spec_Voorderailleur,hero_image_1_url,hero_image_1_path,hero_image_1_filename,hero_image_2_url,hero_image_2_path,hero_image_2_filename,hero_image_3_url,hero_image_3_path,hero_image_3_filename,hero_image_4_url,hero_image_4_path,hero_image_4_filename,hero_image_5_url,hero_image_5_path,hero_image_5_filename,hero_image_6_url,hero_image_6_path,hero_image_6_filename,hero_image_7_url,hero_image_7_path,hero_image_7_filename,hero_image_8_url,hero_image_8_path,hero_image_8_filename,hero_image_9_url,hero_image_9_path,hero_image_9_filename,hero_image_10_url,hero_image_10_path,hero_image_10_filename,hero_image_11_url,hero_image_11_path,hero_image_11_filename,hero_image_12_url,hero_image_12_path,hero_image_12_filename,hero_image_13_url,hero_image_13_path,hero_image_13_filename,hero_image_14_url,hero_image_14_path,hero_image_14_filename,hero_image_15_url,hero_image_15_path,hero_image_15_filename,hero_image_16_url,hero_image_16_path,hero_image_16_filename,hero_image_17_url,hero_image_17_path,hero_image_17_filename,hero_image_18_url,hero_image_18_path,hero_image_18_filename,hero_image_19_url,hero_image_19_path,hero_image_19_filename,hero_image_20_url,hero_image_20_path,hero_image_20_filename,hero_image_21_url,hero_image_21_path,hero_image_21_filename,hero_image_22_url,hero_image_22_path,hero_image_22_filename,hero_image_23_url,hero_image_23_path,hero_image_23_filename,hero_image_24_url,hero_image_24_path,hero_image_24_filename,hero_image_25_url,hero_image_25_path,hero_image_25_filename,hero_image_26_url,hero_image_26_path,hero_image_26_filename
FX Sport AL Equipped,999.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/56824/,56824,tan_white,Tan/White,,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX Sport AL Equipped Midstep,999.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/56825/,56825,green_greenlight,Green/Green light,,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domane AL 2 Gen 4,999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41587/,41587,greydark,Grey dark,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Checkpoint ALR 3 Gen 3,1299.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/49944/,49944,reddark,Red dark,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*","1x, geen voorderailleur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Checkpoint ALR 4 Gen 3,1499.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/49973/,49973,pink,Pink,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*","1x, geen voorderailleur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domane AL 4 Gen 4,1599.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41607/,41607,white,White,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX Sport 4,1799.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/40822/,40822,greydark,Grey dark,,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur","https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSport6Carbon-25-47256-A-Primary",images/Trek/FX_Sport_4/FXSport6Carbon-25-47256-A-Primary_01.jpg,FXSport6Carbon-25-47256-A-Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSport5Carbon-25-47263-A-Primary",images/Trek/FX_Sport_4/FXSport5Carbon-25-47263-A-Primary_02.jpg,FXSport5Carbon-25-47263-A-Primary_02.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSportEquippedStepover-26-56824-A-Primary",images/Trek/FX_Sport_4/FXSportEquippedStepover-26-56824-A-Primary_03.jpg,FXSportEquippedStepover-26-56824-A-Primary_03.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSportEquippedMidstep-26-56825-A-Primary",images/Trek/FX_Sport_4/FXSportEquippedMidstep-26-56825-A-Primary_04.jpg,FXSportEquippedMidstep-26-56825-A-Primary_04.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2Midstep-26-57142-A-Primary",images/Trek/FX_Sport_4/FX2Midstep-26-57142-A-Primary_05.jpg,FX2Midstep-26-57142-A-Primary_05.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2Stepover-26-57139-A-Primary",images/Trek/FX_Sport_4/FX2Stepover-26-57139-A-Primary_06.jpg,FX2Stepover-26-57139-A-Primary_06.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX3EQStagger-24-40505-A-Primary",images/Trek/FX_Sport_4/FX3EQStagger-24-40505-A-Primary_07.jpg,FX3EQStagger-24-40505-A-Primary_07.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX3EQMen-24-40504-A-Primary",images/Trek/FX_Sport_4/FX3EQMen-24-40504-A-Primary_08.jpg,FX3EQMen-24-40504-A-Primary_08.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX3-24-40819-A-Primary",images/Trek/FX_Sport_4/FX3-24-40819-A-Primary_09.jpg,FX3-24-40819-A-Primary_09.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2EQStagger-24-40507-B-Primary",images/Trek/FX_Sport_4/FX2EQStagger-24-40507-B-Primary_10.jpg,FX2EQStagger-24-40507-B-Primary_10.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2EQMen-24-40506-B-Primary",images/Trek/FX_Sport_4/FX2EQMen-24-40506-B-Primary_11.jpg,FX2EQMen-24-40506-B-Primary_11.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2-24-40815-B-Primary",images/Trek/FX_Sport_4/FX2-24-40815-B-Primary_12.jpg,FX2-24-40815-B-Primary_12.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX1-24-40813-A-Primary",images/Trek/FX_Sport_4/FX1-24-40813-A-Primary_13.jpg,FX1-24-40813-A-Primary_13.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSport6Carbon_22_35787_A_Primary",images/Trek/FX_Sport_4/FXSport6Carbon_22_35787_A_Primary_14.jpg,FXSport6Carbon_22_35787_A_Primary_14.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX1_21_32769_A_Primary",images/Trek/FX_Sport_4/FX1_21_32769_A_Primary_15.jpg,FX1_21_32769_A_Primary_15.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSportEquippedStepover-26-56824-B-Primary",images/Trek/FX_Sport_4/FXSportEquippedStepover-26-56824-B-Primary_16.jpg,FXSportEquippedStepover-26-56824-B-Primary_16.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FXSportEquippedMidstep-26-56825-B-Primary",images/Trek/FX_Sport_4/FXSportEquippedMidstep-26-56825-B-Primary_17.jpg,FXSportEquippedMidstep-26-56825-B-Primary_17.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2Midstep-26-57142-B-Primary",images/Trek/FX_Sport_4/FX2Midstep-26-57142-B-Primary_18.jpg,FX2Midstep-26-57142-B-Primary_18.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2Stepover-26-57139-C-Primary",images/Trek/FX_Sport_4/FX2Stepover-26-57139-C-Primary_19.jpg,FX2Stepover-26-57139-C-Primary_19.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2Stepover-26-57139-B-Primary",images/Trek/FX_Sport_4/FX2Stepover-26-57139-B-Primary_20.jpg,FX2Stepover-26-57139-B-Primary_20.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX3-24-40819-C-Primary",images/Trek/FX_Sport_4/FX3-24-40819-C-Primary_21.jpg,FX3-24-40819-C-Primary_21.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2EQStagger-24-40507-A-Primary",images/Trek/FX_Sport_4/FX2EQStagger-24-40507-A-Primary_22.jpg,FX2EQStagger-24-40507-A-Primary_22.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2EQMen-24-40506-A-Primary",images/Trek/FX_Sport_4/FX2EQMen-24-40506-A-Primary_23.jpg,FX2EQMen-24-40506-A-Primary_23.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/FX2-24-40815-A-Primary",images/Trek/FX_Sport_4/FX2-24-40815-A-Primary_24.jpg,FX2-24-40815-A-Primary_24.jpg,https://media.trekbikes.com/image/upload/w_1200/FXSport4Carbon-24-40822-A-Portrait,images/Trek/FX_Sport_4/FXSport4Carbon-24-40822-A-Portrait_25.jpg,FXSport4Carbon-24-40822-A-Portrait_25.jpg,,,
Émonda ALR 5,1999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41426/,41426,red_reddark,Red/Red dark,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX Sport SL 5,1999.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47263/,47263,greendark_black,Green dark/Black,,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Checkpoint ALR 5 Gen 3,1999.0,Checkpoint,Trek,https://www.trekbikes.com/nl/nl_NL/p/49946/,49946,bluelight_teal,Blue light/Teal,,Endurance*,"SRAM DUB Wide, T47 met schroefdraad, interne lagers*","1x, geen voorderailleur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domane AL 5 Gen 4,1999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41395/,41395,black,Black,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Émonda SL 5,2699.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/36974/,36974,greydark,Grey dark,,H1.5 Race*,"Praxis, T47 met schroefdraad, interne lagers*",,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/EmondaSLFS_19_24014_A_Primary",images/Trek/Émonda_SL_5/EmondaSLFS_19_24014_A_Primary_01.jpg,EmondaSLFS_19_24014_A_Primary_01.jpg,"https://media.trekbikes.com/image/upload/c_pad,w_1360,h_1020,f_jpg,fl_progressive:semi,q_auto,fl_strip_profile/EmondaSLDiscFrameset_21_32688_A_Primary",images/Trek/Émonda_SL_5/EmondaSLDiscFrameset_21_32688_A_Primary_02.jpg,EmondaSLDiscFrameset_21_32688_A_Primary_02.jpg,https://media.trekbikes.com/image/upload/w_1200/EmondaSL5_23_36974_A_Portrait,images/Trek/Émonda_SL_5/EmondaSL5_23_36974_A_Portrait_03.jpg,EmondaSL5_23_36974_A_Portrait_03.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX Sport SL 6,2799.0,Active &amp; fitness bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/47256/,47256,bronze_black,Bronze/Black,,Comfort*,"Shimano RS500, 86 mm, PressFit*","1x, geen voorderailleur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domane SL 5 Gen 4,2799.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41348/,41348,black_grey,Black/Grey,,Endurance*,"Praxis, T47 met schroefdraad, interne lagers*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
