post_title,post_content,post_status,post_type,sku,regular_price,product_cat,brand,product_url,variant,color,meta:Material,meta:Weight,images,meta:image_1_local_path,meta:additional_image_2,meta:image_2_local_path,meta:additional_image_3,meta:image_3_local_path,meta:additional_image_4,meta:image_4_local_path,meta:additional_image_5,meta:image_5_local_path,meta:import_date,meta:import_source
Endurace AllRoad,"Fietsen van deze categorie zijn geschikt voor verharde wegen waarbij die wielen voortdurend in contact met de ondergrond blijven. Dit zijn meestal racefietsen met racesturen of rechte sturen, triatlon- of tijdritfietsen. Het maximaal toelaatbare totaalgewicht, bestaande uit biker, bagage en fiets mag niet meer dan 120 kg bedragen. Dit maximale toegestane gewicht kan onder bepaalde omstandigheden door de gebruiksaanbevelingen van de fabrikant van de componenten verder worden beperkt. Uitzonderingen in deze categorie zijn bepaalde cyclocross- en gravelfietsen met racestuur en cantilever- of schijfremmen. Deze fietsen zijn ook geschikt voor gravelpaden en offroad-parcoursen waarop de banden door kleine treden of obstakels voor korte tijd contact met de grond verliezen, en dit van 15 tot 20 cm hoog.",publish,product,4164,999.0,Endurance,Canyon,https://www.canyon.com/nl-nl/racefietsen/endurance-racefietsen/endurace/allroad/endurace-allroad/4164.html,,,Aluminium (AL),"10,72 kg",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Endurace_AllRoad/Splitit.png,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwcf5e15c4/images/top/2025_TOP-2/2025/2025_TOP-2_endurace_all-road-5_4164_R138_P01_tyre-clearance.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Endurace_AllRoad/2025_TOP-2_endurace_all-road-5_4164_R138_P01_tyre-clearance.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwdc7c280d/images/full/2025_FULL_/2025/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg?sw=448&sh=231&sm=fit&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Endurace_AllRoad/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwdc7c280d/images/full/2025_FULL_/2025/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg?sw=750&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Endurace_AllRoad/2025_FULL_endurace_all-road-5_4164_R138_P01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/Sites-RoW-Site/-/default/dw69f9d44b/images/pdpModalTrigger/pdpModalTriggerCompare.jpg?sw=632&sh=356&sm=cut,images/Canyon/Endurace_AllRoad/pdpModalTriggerCompare.jpg,2025-07-18 10:58:29,trek_scraper
Ultimate CF 7 Di2,"Fietsen van deze categorie zijn geschikt voor verharde wegen waarbij die wielen voortdurend in contact met de ondergrond blijven. Dit zijn meestal racefietsen met racesturen of rechte sturen, triatlon- of tijdritfietsen. Het maximaal toelaatbare totaalgewicht, bestaande uit biker, bagage en fiets mag niet meer dan 120 kg bedragen. Dit maximale toegestane gewicht kan onder bepaalde omstandigheden door de gebruiksaanbevelingen van de fabrikant van de componenten verder worden beperkt. Uitzonderingen in deze categorie zijn bepaalde cyclocross- en gravelfietsen met racestuur en cantilever- of schijfremmen. Deze fietsen zijn ook geschikt voor gravelpaden en offroad-parcoursen waarop de banden door kleine treden of obstakels voor korte tijd contact met de grond verliezen, en dit van 15 tot 20 cm hoog.",publish,product,4065,3549.0,Race,Canyon,https://www.canyon.com/nl-nl/racefietsen/wielrenfietsen/ultimate/cf-sl/ultimate-cf-7-di2/4065.html?dwvar_4065_pv_rahmenfarbe=R101_P07,,,Carbon (CF),"8,36 kg",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Ultimate_CF_7_Di2/Splitit.png,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw33e07bb9/images/top/2026_TOP-3/2026/2026_TOP-3_ultimate_cf-sl-7-di2_4065_R101_P07_aero-drops.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Ultimate_CF_7_Di2/2026_TOP-3_ultimate_cf-sl-7-di2_4065_R101_P07_aero-drops.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/Sites-RoW-Site/-/default/dw69f9d44b/images/pdpModalTrigger/pdpModalTriggerCompare.jpg?sw=632&sh=356&sm=cut,images/Canyon/Ultimate_CF_7_Di2/pdpModalTriggerCompare.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw43a51a30/images/top/2026_TOP-4/2026/2026_TOP-4_ultimate_cf-sl-7-di2_4065_R101_P07_carbon.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Ultimate_CF_7_Di2/2026_TOP-4_ultimate_cf-sl-7-di2_4065_R101_P07_carbon.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw58b15213/images/full/2026_FULL_/2026/2026_FULL_ultimate_cf-sl-7-di2_4065_R101_P07.jpg?sw=750&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Ultimate_CF_7_Di2/2026_FULL_ultimate_cf-sl-7-di2_4065_R101_P07.jpg,2025-07-18 10:58:29,trek_scraper
Aeroad CFR AXS,"Fietsen van deze categorie zijn geschikt voor verharde wegen waarbij die wielen voortdurend in contact met de ondergrond blijven. Dit zijn meestal racefietsen met racesturen of rechte sturen, triatlon- of tijdritfietsen. Het maximaal toelaatbare totaalgewicht, bestaande uit biker, bagage en fiets mag niet meer dan 120 kg bedragen. Dit maximale toegestane gewicht kan onder bepaalde omstandigheden door de gebruiksaanbevelingen van de fabrikant van de componenten verder worden beperkt. Uitzonderingen in deze categorie zijn bepaalde cyclocross- en gravelfietsen met racestuur en cantilever- of schijfremmen. Deze fietsen zijn ook geschikt voor gravelpaden en offroad-parcoursen waarop de banden door kleine treden of obstakels voor korte tijd contact met de grond verliezen, en dit van 15 tot 20 cm hoog.",publish,product,4040,10149.0,Aero,Canyon,https://www.canyon.com/nl-nl/racefietsen/aero-racefietsen/aeroad/cfr/aeroad-cfr-axs/4040.html?dwvar_4040_pv_rahmenfarbe=R108_P01,,,Carbon (CFR),"6,98 kg",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Aeroad_CFR_AXS/Splitit.png,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwe391d685/images/customer-service/road-bikes/MY25_ARD-CFR-Di2_3967_UB.jpg?sw=1080,images/Canyon/Aeroad_CFR_AXS/MY25_ARD-CFR-Di2_3967_UB.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/Sites-RoW-Site/-/default/dw69f9d44b/images/pdpModalTrigger/pdpModalTriggerCompare.jpg?sw=632&sh=356&sm=cut,images/Canyon/Aeroad_CFR_AXS/pdpModalTriggerCompare.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw3955df03/images/pdp/brand-highlight-raw-carbon-frames.jpg?sw=513&sh=289&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CFR_AXS/brand-highlight-raw-carbon-frames.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw558d46a3/images/pdp/awards/DI_LogoNEU_2025_pos_RGB.png?sw=180,images/Canyon/Aeroad_CFR_AXS/DI_LogoNEU_2025_pos_RGB.png,2025-07-18 10:58:29,trek_scraper
Aeroad CFR Di2,"Fietsen van deze categorie zijn geschikt voor verharde wegen waarbij die wielen voortdurend in contact met de ondergrond blijven. Dit zijn meestal racefietsen met racesturen of rechte sturen, triatlon- of tijdritfietsen. Het maximaal toelaatbare totaalgewicht, bestaande uit biker, bagage en fiets mag niet meer dan 120 kg bedragen. Dit maximale toegestane gewicht kan onder bepaalde omstandigheden door de gebruiksaanbevelingen van de fabrikant van de componenten verder worden beperkt. Uitzonderingen in deze categorie zijn bepaalde cyclocross- en gravelfietsen met racestuur en cantilever- of schijfremmen. Deze fietsen zijn ook geschikt voor gravelpaden en offroad-parcoursen waarop de banden door kleine treden of obstakels voor korte tijd contact met de grond verliezen, en dit van 15 tot 20 cm hoog.",publish,product,4039,10149.0,Aero,Canyon,https://www.canyon.com/nl-nl/racefietsen/aero-racefietsen/aeroad/cfr/aeroad-cfr-di2/4039.html?dwvar_4039_pv_rahmenfarbe=R108_P01,,,Carbon (CFR),"7,04 kg",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Aeroad_CFR_Di2/Splitit.png,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwe391d685/images/customer-service/road-bikes/MY25_ARD-CFR-Di2_3967_UB.jpg?sw=1080,images/Canyon/Aeroad_CFR_Di2/MY25_ARD-CFR-Di2_3967_UB.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/Sites-RoW-Site/-/default/dw69f9d44b/images/pdpModalTrigger/pdpModalTriggerCompare.jpg?sw=632&sh=356&sm=cut,images/Canyon/Aeroad_CFR_Di2/pdpModalTriggerCompare.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw91ae27ff/images/full/2026_FULL_/2026/2026_FULL_aeroad_cfr-di2_4039_R108_P01.jpg?sw=448&sh=231&sm=fit&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Aeroad_CFR_Di2/2026_FULL_aeroad_cfr-di2_4039_R108_P01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dw3955df03/images/pdp/brand-highlight-raw-carbon-frames.jpg?sw=513&sh=289&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CFR_Di2/brand-highlight-raw-carbon-frames.jpg,2025-07-18 10:58:29,trek_scraper
Ultimate CF 7,"Fietsen van deze categorie zijn geschikt voor verharde wegen waarbij die wielen voortdurend in contact met de ondergrond blijven. Dit zijn meestal racefietsen met racesturen of rechte sturen, triatlon- of tijdritfietsen. Het maximaal toelaatbare totaalgewicht, bestaande uit biker, bagage en fiets mag niet meer dan 120 kg bedragen. Dit maximale toegestane gewicht kan onder bepaalde omstandigheden door de gebruiksaanbevelingen van de fabrikant van de componenten verder worden beperkt. Uitzonderingen in deze categorie zijn bepaalde cyclocross- en gravelfietsen met racestuur en cantilever- of schijfremmen. Deze fietsen zijn ook geschikt voor gravelpaden en offroad-parcoursen waarop de banden door kleine treden of obstakels voor korte tijd contact met de grond verliezen, en dit van 15 tot 20 cm hoog.",publish,product,4063,2549.0,Race,Canyon,https://www.canyon.com/nl-nl/racefietsen/wielrenfietsen/ultimate/cf-sl/ultimate-cf-7/4063.html?dwvar_4063_pv_rahmenfarbe=R101_P06,,,Carbon (CF),"8,68 kg",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Ultimate_CF_7/Splitit.png,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw81af7ebb/images/top/2026_TOP-5/2026/2026_TOP-5_ultimate_cf-sl-7_4063_R101_P06_aero.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Ultimate_CF_7/2026_TOP-5_ultimate_cf-sl-7_4063_R101_P06_aero.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwf1c1c152/images/top/2026_TOP-1/2026/2026_TOP-1_ultimate_cf-sl-7_4063_R101_P06_balance.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Ultimate_CF_7/2026_TOP-1_ultimate_cf-sl-7_4063_R101_P06_balance.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw2b4fa332/images/full/2026_FULL_/2026/2026_FULL_ultimate_cf-sl-7_4063_R101_P06.jpg?sw=750&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Ultimate_CF_7/2026_FULL_ultimate_cf-sl-7_4063_R101_P06.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/Sites-RoW-Site/-/default/dw69f9d44b/images/pdpModalTrigger/pdpModalTriggerCompare.jpg?sw=632&sh=356&sm=cut,images/Canyon/Ultimate_CF_7/pdpModalTriggerCompare.jpg,2025-07-18 10:58:29,trek_scraper
Aeroad CF SLX 7 Di2,"Fietsen van deze categorie zijn geschikt voor verharde wegen waarbij die wielen voortdurend in contact met de ondergrond blijven. Dit zijn meestal racefietsen met racesturen of rechte sturen, triatlon- of tijdritfietsen. Het maximaal toelaatbare totaalgewicht, bestaande uit biker, bagage en fiets mag niet meer dan 120 kg bedragen. Dit maximale toegestane gewicht kan onder bepaalde omstandigheden door de gebruiksaanbevelingen van de fabrikant van de componenten verder worden beperkt. Uitzonderingen in deze categorie zijn bepaalde cyclocross- en gravelfietsen met racestuur en cantilever- of schijfremmen. Deze fietsen zijn ook geschikt voor gravelpaden en offroad-parcoursen waarop de banden door kleine treden of obstakels voor korte tijd contact met de grond verliezen, en dit van 15 tot 20 cm hoog.",publish,product,4034,4249.0,Aero,Canyon,https://www.canyon.com/nl-nl/racefietsen/aero-racefietsen/aeroad/aeroad-cf-slx/aeroad-cf-slx-7-di2/4034.html?dwvar_4034_pv_rahmenfarbe=R107_P07,,,Carbon (CF),"7,84 kg",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwdf8a8624/images/pdp/road-bikes/Adv-pdp-aeroad-cf-slx-01.jpg?sw=513&sh=289&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_7_Di2/Adv-pdp-aeroad-cf-slx-01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Aeroad_CF_SLX_7_Di2/Splitit.png,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw40ae5ec2/images/full/2026_FULL_/2026/2026_FULL_aeroad_cf-slx-7-di2_4034_R107_P07.jpg?sw=448&sh=231&sm=fit&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Aeroad_CF_SLX_7_Di2/2026_FULL_aeroad_cf-slx-7-di2_4034_R107_P07.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw40ae5ec2/images/full/2026_FULL_/2026/2026_FULL_aeroad_cf-slx-7-di2_4034_R107_P07.jpg?sw=750&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Aeroad_CF_SLX_7_Di2/2026_FULL_aeroad_cf-slx-7-di2_4034_R107_P07.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dwaa9dc71b/images/top/2026_TOP-1/2026/2026_TOP-1_aeroad_cf-slx-7-di2_4034_R107_P07_peloton-performance.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_7_Di2/2026_TOP-1_aeroad_cf-slx-7-di2_4034_R107_P07_peloton-performance.jpg,2025-07-18 10:58:29,trek_scraper
Aeroad CF SLX 8 Di2,"Fietsen van deze categorie zijn geschikt voor verharde wegen waarbij die wielen voortdurend in contact met de ondergrond blijven. Dit zijn meestal racefietsen met racesturen of rechte sturen, triatlon- of tijdritfietsen. Het maximaal toelaatbare totaalgewicht, bestaande uit biker, bagage en fiets mag niet meer dan 120 kg bedragen. Dit maximale toegestane gewicht kan onder bepaalde omstandigheden door de gebruiksaanbevelingen van de fabrikant van de componenten verder worden beperkt. Uitzonderingen in deze categorie zijn bepaalde cyclocross- en gravelfietsen met racestuur en cantilever- of schijfremmen. Deze fietsen zijn ook geschikt voor gravelpaden en offroad-parcoursen waarop de banden door kleine treden of obstakels voor korte tijd contact met de grond verliezen, en dit van 15 tot 20 cm hoog.",publish,product,4036,6599.0,Aero,Canyon,https://www.canyon.com/nl-nl/racefietsen/aero-racefietsen/aeroad/aeroad-cf-slx/aeroad-cf-slx-8-di2/4036.html?dwvar_4036_pv_rahmenfarbe=R107_P07,,,Carbon (CF),"7,46 kg",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw267f39eb/images/full/2026_FULL_/2026/2026_FULL_aeroad_cf-slx-8-di2_4036_R107_P07.jpg?sw=750&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Aeroad_CF_SLX_8_Di2/2026_FULL_aeroad_cf-slx-8-di2_4036_R107_P07.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Aeroad_CF_SLX_8_Di2/Splitit.png,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwdf8a8624/images/pdp/road-bikes/Adv-pdp-aeroad-cf-slx-01.jpg?sw=513&sh=289&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_8_Di2/Adv-pdp-aeroad-cf-slx-01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwe391d685/images/customer-service/road-bikes/MY25_ARD-CFR-Di2_3967_UB.jpg?sw=1080,images/Canyon/Aeroad_CF_SLX_8_Di2/MY25_ARD-CFR-Di2_3967_UB.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw5fcb9d57/images/top/2026_TOP-6/2026/2026_TOP-6_aeroad_cf-slx-8-di2_4036_R107_P07_integrated-tool.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_8_Di2/2026_TOP-6_aeroad_cf-slx-8-di2_4036_R107_P07_integrated-tool.jpg,2025-07-18 10:58:29,trek_scraper
Aeroad CF SLX 7 AXS SPEED,"Fietsen van deze categorie zijn geschikt voor verharde wegen waarbij die wielen voortdurend in contact met de ondergrond blijven. Dit zijn meestal racefietsen met racesturen of rechte sturen, triatlon- of tijdritfietsen. Het maximaal toelaatbare totaalgewicht, bestaande uit biker, bagage en fiets mag niet meer dan 120 kg bedragen. Dit maximale toegestane gewicht kan onder bepaalde omstandigheden door de gebruiksaanbevelingen van de fabrikant van de componenten verder worden beperkt. Uitzonderingen in deze categorie zijn bepaalde cyclocross- en gravelfietsen met racestuur en cantilever- of schijfremmen. Deze fietsen zijn ook geschikt voor gravelpaden en offroad-parcoursen waarop de banden door kleine treden of obstakels voor korte tijd contact met de grond verliezen, en dit van 15 tot 20 cm hoog.",publish,product,4035,4799.0,Aero,Canyon,https://www.canyon.com/nl-nl/racefietsen/aero-racefietsen/aeroad/aeroad-cf-slx/aeroad-cf-slx-7-axs-speed/4035.html?dwvar_4035_pv_rahmenfarbe=R107_P04,,,Carbon (CF),"7,94 kg",https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwdf8a8624/images/pdp/road-bikes/Adv-pdp-aeroad-cf-slx-01.jpg?sw=513&sh=289&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_7_AXS_SPEED/Adv-pdp-aeroad-cf-slx-01.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites/default/dw919e7355/Splitit.png?sh=32,images/Canyon/Aeroad_CF_SLX_7_AXS_SPEED/Splitit.png,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Library-Sites-canyon-shared/default/dwe391d685/images/customer-service/road-bikes/MY25_ARD-CFR-Di2_3967_UB.jpg?sw=1080,images/Canyon/Aeroad_CF_SLX_7_AXS_SPEED/MY25_ARD-CFR-Di2_3967_UB.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw59ed7562/images/full/2026_FULL_/2026/2026_FULL_aeroad_cf-slx-7-axs_4035_R107_P04.jpg?sw=750&sfrm=png&q=90&bgcolor=F2F2F2,images/Canyon/Aeroad_CF_SLX_7_AXS_SPEED/2026_FULL_aeroad_cf-slx-7-axs_4035_R107_P04.jpg,https://www.canyon.com/dw/image/v2/BCML_PRD/on/demandware.static/-/Sites-canyon-master/default/dw03a953fb/images/top/2026_TOP-1/2026/2026_TOP-1_aeroad_cf-slx-7-axs_4035_R107_P04_peleton-performance.jpg?sw=504&sh=504&sm=cut&sfrm=jpg&q=80,images/Canyon/Aeroad_CF_SLX_7_AXS_SPEED/2026_TOP-1_aeroad_cf-slx-7-axs_4035_R107_P04_peleton-performance.jpg,2025-07-18 10:58:29,trek_scraper
